"Well_Number","Well_Status","NR_Area","NR_Subarea","Location","Location_Long","Latitude","Longitude","Aquifer_ID","Aquifer_Subtype","Aquifer_Type","Hydraulic_Connectivity","Report","Start_Year","End_Year","N_Years","Start_WaterYear","End_WaterYear","N_WaterYears","Start_Year_Monthly","End_Year_Monthly","N_Years_Monthly","Start_WaterYear_Monthly","End_WaterYear_Monthly","N_WaterYears_Monthly","Start_Year_Continuous","End_Year_Continuous","N_Years_Continuous","Start_WaterYear_Continuous","End_WaterYear_Continuous","N_WaterYears_Continuous"
"OW022","Inactive",NA,NA,NA,NA,555301.2753,1468401.2778,464,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW018","Inactive",NA,NA,NA,NA,554970.6313,1468880.3632,462,"3","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW133","Inactive",NA,NA,NA,NA,660981.2865,1704277.424,603,"1b","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW166","Inactive",NA,NA,NA,NA,578697.7432,1472022.3665,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW130","Inactive",NA,NA,NA,NA,660557.7641,1704728.1741,603,"1b","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW028","Inactive",NA,NA,NA,NA,558615.7124,1468672.9265,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW033","Inactive",NA,NA,NA,NA,649287.0128,1398477.0248,283,"1b","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW034","Inactive",NA,NA,NA,NA,641605.4414,1388527.1946,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW131","Inactive",NA,NA,NA,NA,660784.6591,1704817.2055,603,"1b","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW132","Inactive",NA,NA,NA,NA,661284.9881,1704489.5836,603,"1b","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW032","Inactive",NA,NA,NA,NA,640583.8509,1399072.5673,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW228","Active",NA,NA,NA,NA,449941.4678,1155684.9852,160,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW169","Inactive",NA,NA,NA,NA,588179.3262,1473803.472,345,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW176","Inactive",NA,NA,NA,NA,585493.5029,1473282.5207,345,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW164","Inactive",NA,NA,NA,NA,581531.4929,1471753.2103,344,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW172","Active","South Natural Resource Area","Central Okanagan","Oyama","Oyama (Sawmill Rd.)",588535.8262,1474410.0124,1238,"3","Unconfined sand and gravel","Likely",TRUE,1977,2022,46,1977,2022,46,1977,2003,27,1977,2003,27,2003,2022,20,2004,2022,19
"OW168","Inactive",NA,NA,NA,NA,588799.0058,1474119.4667,1238,"3","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW174","Inactive",NA,NA,NA,NA,587440.9442,1473888.6783,345,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW175","Inactive",NA,NA,NA,NA,586877.9892,1474152.1348,345,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW316","Active","West Coast Region","Regional District of Nanaimo","Gabriola Island","Gabriola Island (Oyster Way)",460602.9855,1163037.0243,709,"5a","Sedimentary","Not Likely",TRUE,1992,2022,30,1992,2022,31,1992,2003,12,1992,2003,12,2003,2022,19,2003,2022,20
"OW171","Inactive",NA,NA,NA,NA,587776.2941,1473759.4496,345,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW163","Inactive",NA,NA,NA,NA,585983.4317,1473562.113,345,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW173","Inactive",NA,NA,NA,NA,587926.2437,1474201.5611,345,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW170","Inactive",NA,NA,NA,NA,587996.5438,1474473.699,345,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW006","Inactive",NA,NA,NA,NA,462614.1094,1229322.607,61,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW049","Inactive",NA,NA,NA,NA,986594.3835,1220964.041,86,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW001","Inactive",NA,NA,NA,NA,456813.6124,1273093.2499,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW267","Inactive",NA,NA,NA,NA,404896.3038,1186173.8193,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW327","Active","West Coast Region","Capital Regional District","Galiano Island","Galiano Island (Community School)",433608.5089,1195695.5591,320,"5a","Sedimentary","Not Likely",TRUE,1995,2022,28,1995,2022,28,1995,2003,9,1995,2003,9,2003,2022,20,2003,2022,20
"OW217","Active","South Natural Resource Area","Kootenay Boundary","Grand Forks","Grand Forks (Richmond Ave.)",474769.5086,1552997.5765,158,"1b","Unconfined sand and gravel","Likely",TRUE,1977,2022,46,1977,2022,46,1977,2003,27,1977,2004,28,2004,2022,19,2004,2022,19
"OW295","Active","West Coast Region","Regional District of Nanaimo","Qualicum Beach","Qualicum Beach (Berwick Road)",481077.6766,1113612.1025,217,"4b","Confined sand and gravel","Not Likely",TRUE,1986,2022,37,1987,2022,36,1986,2003,18,1987,2003,17,2003,2022,20,2003,2022,20
"OW219","Inactive",NA,NA,NA,NA,475129.8357,1550003.0689,158,"1b","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW156","Inactive",NA,NA,NA,NA,526999.0099,1459934.5544,297,"2","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW005","Inactive",NA,NA,NA,NA,464913.0774,1246286.3893,59,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW003","Inactive",NA,NA,NA,NA,462512.2104,1263908.8198,29,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW007","Inactive",NA,NA,NA,NA,455740.6788,1251677.0024,1144,"4c","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW004","Inactive",NA,NA,NA,NA,452048.6743,1248408.408,50,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW009","Inactive",NA,NA,NA,NA,452560.5393,1241435.2884,41,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW230","Inactive",NA,NA,NA,NA,555020.5147,1739915.9167,524,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW010","Inactive",NA,NA,NA,NA,463247.7788,1251267.1833,35,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW017","Inactive",NA,NA,NA,NA,562444.9364,1471149.51,467,"1c","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW087","Inactive",NA,NA,NA,NA,480662.4759,1468711.9272,254,"1a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW089","Active","North Natural Resource Area","Skeena","Smithers","Smithers (Corner Powell & Lund)",1089873.672,923594.0896,584,"4b","Confined sand and gravel","Not Likely",TRUE,1969,2020,46,1970,2021,46,1969,2006,37,1970,2006,36,2009,2020,9,2009,2021,10
"OW229","Inactive",NA,NA,NA,NA,796200.5788,1266939.6961,143,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW079","Inactive",NA,NA,NA,NA,515409.006,1500827.7407,482,"1c","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW082","Active","South Natural Resource Area","Cariboo","Barkerville","Barkerville (Lower)",903785.3301,1301723.3562,NA,NA,NA,NA,TRUE,1975,2021,46,1975,2021,45,1975,2008,33,1975,2008,32,2008,2021,14,2008,2021,14
"OW083","Inactive",NA,NA,NA,NA,904077.5917,1301818.6288,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW080","Active","South Natural Resource Area","Thompson-Nicola","Clinton","Clinton (Rodeo Grounds Cariboo Hwy 97n)",682729.0359,1308881.5295,921,"4b","Confined sand and gravel","Not Likely",TRUE,1971,2022,52,1971,2022,51,1971,2003,33,1971,2004,34,2004,2022,19,2004,2022,18
"OW035","Active","South Natural Resource Area","Thompson-Nicola","Stump Lake","Stump Lake (Hwy 5a & Old Kamloops Road)",613568.406,1402799.5765,1174,"4b","Confined sand and gravel","Not Likely",TRUE,1968,2021,54,1968,2022,55,1968,2005,38,1968,2005,38,2005,2021,17,2005,2022,18
"OW084","Inactive",NA,NA,NA,NA,1161433.798,1186377.7926,431,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW091","Inactive",NA,NA,NA,NA,467417.2207,1477476.6015,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW078","Inactive",NA,NA,NA,NA,738210.4515,1331914.7946,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW181","Inactive",NA,NA,NA,NA,621871.9177,1481027.1922,353,"3","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW220","Inactive",NA,NA,NA,NA,509889.4477,1398642.4384,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW088","Active","South Natural Resource Area","Cariboo","Williams Lake","Williams Lake (Scout Island)",797065.0743,1265261.7693,146,"4b","Confined sand and gravel","Not Likely",TRUE,1971,2022,51,1972,2022,50,1971,2003,32,1972,2003,31,2003,2022,20,2003,2022,20
"OW081","Active","South Natural Resource Area","Cariboo","83 Mile","83 Mile (Cariboo Hwy 97n)",723574.6837,1320594.2225,124,"6a","Crystalline bedrock","Not Likely",TRUE,1967,2022,56,1967,2022,56,1967,2004,38,1967,2004,38,2004,2022,19,2004,2022,19
"OW125","Active","West Coast Region","Capital Regional District","Mayne Island","Mayne Island (Horton Bay Rd.)",429024.9367,1200277.3725,620,"5a","Sedimentary","Not Likely",TRUE,1971,2022,52,1972,2022,51,1971,2004,34,1972,2004,33,2005,2022,18,2005,2022,18
"OW062","Inactive",NA,NA,NA,NA,410119.8233,1187621.3031,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW233","Active","West Coast Region","Cowichan Valley Regional District","Cowichan Bay","Cowichan Bay (Vee Road)",416446.934,1174994.8198,197,"4b","Confined sand and gravel","Not Likely",TRUE,1979,2022,43,1980,2022,42,1979,2003,24,1980,2003,23,2003,2022,20,2003,2022,20
"OW074","Active","South Natural Resource Area","Central Kootenay","Ootischenia","Ootischenia (Aaron Rd. - Castlegar Golf Course)",513224.2737,1608940.8379,507,"4a","Unconfined sand and gravel","Likely",TRUE,1966,2022,55,1967,2022,55,1966,2008,42,1967,2008,42,2010,2022,13,2010,2022,13
"OW059","Inactive",NA,NA,NA,NA,405680.3057,1190208.0022,610,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW058","Active","West Coast Region","Capital Regional District","North Saanich","North Saanich (Mainwaring Rd.)",405161.3433,1190658.436,610,"4b","Confined sand and gravel","Not Likely",TRUE,1966,2022,57,1966,2022,57,1966,2004,39,1966,2004,39,2004,2022,19,2005,2022,18
"OW060","Active","West Coast Region","Capital Regional District","North Saanich","North Saanich (Littlewood Rd.)",408170.7005,1189598.1516,609,"4b","Confined sand and gravel","Not Likely",TRUE,1966,2022,57,1966,2022,57,1966,2004,39,1966,2004,39,2004,2022,19,2004,2022,19
"OW075","Active","South Natural Resource Area","Similkameen","Keremeos","Keremeos (6th Ave & 5th St.)",485186.1896,1449822.9561,259,"1a","Unconfined sand and gravel","Likely",TRUE,1963,2022,57,1963,2022,57,1963,2007,42,1963,2007,42,2007,2022,16,2008,2022,15
"OW042","Inactive",NA,NA,NA,NA,627406.9791,1467858.4695,97,"1a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW045","Active","South Natural Resource Area","Thompson-Nicola","Westwold","Westwold (Station Road)",626208.1948,1442285.0495,289,"4a","Unconfined sand and gravel","Likely",TRUE,1965,2022,58,1966,2022,57,1965,2007,43,1966,2007,42,2007,2022,16,2007,2022,16
"OW046","Inactive",NA,NA,NA,NA,622456.9847,1439899.3077,289,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW041","Inactive",NA,NA,NA,NA,629961.8464,1474742.7693,102,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW043","Inactive",NA,NA,NA,NA,623933.9492,1472475.1997,1150,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW044","Inactive",NA,NA,NA,NA,625989.9987,1447071.324,289,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW051","Inactive",NA,NA,NA,NA,592457.6345,1469805.5221,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW025","Inactive",NA,NA,NA,NA,593290.4216,1470242.7744,471,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW038","Inactive",NA,NA,NA,NA,618170.2128,1474955.449,354,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW024","Inactive",NA,NA,NA,NA,590590.3117,1468215.8199,471,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW040","Inactive",NA,NA,NA,NA,626503.2468,1470463.109,97,"1a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW039","Inactive",NA,NA,NA,NA,625026.6665,1471153.2349,1150,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW012","Inactive",NA,NA,NA,NA,452882.6404,1243563.7513,41,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW011","Inactive",NA,NA,NA,NA,454357.766,1242060.6219,41,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW013","Inactive",NA,NA,NA,NA,455833.88,1242854.3408,41,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW252","Inactive",NA,NA,NA,NA,405608.2673,1186360.4913,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW053","Inactive",NA,NA,NA,NA,592018.7219,1470968.3235,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW052","Inactive",NA,NA,NA,NA,592259.4031,1471116.5001,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW050","Inactive",NA,NA,NA,NA,981597.0445,1203500.5932,90,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW116","Inactive",NA,NA,NA,NA,630914.8617,1485825.5272,1155,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW117","Active","South Natural Resource Area","North Okanagan","Armstrong","Armstrong (Otter Lake Cross Rd.)",624305.7396,1480211.1647,1155,"4b","Confined sand and gravel","Not Likely",TRUE,1971,2022,52,1971,2022,52,1971,2003,33,1971,2004,34,2003,2022,20,2004,2022,19
"OW139","Inactive",NA,NA,NA,NA,500882.0523,1685752.4502,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW141","Inactive",NA,NA,NA,NA,504074.8889,1685398.4684,985,"1c","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW137","Inactive",NA,NA,NA,NA,498314.9552,1686987.6788,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW142","Inactive",NA,NA,NA,NA,503558.68,1685578.0523,985,"1c","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW140","Inactive",NA,NA,NA,NA,503817.5423,1685384.9811,985,"1c","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW118","Active","South Natural Resource Area","North Okanagan","Armstrong","Armstrong (Back Enderby Rd.)",629799.3117,1486726.7032,1155,"4b","Confined sand and gravel","Not Likely",TRUE,1971,2022,52,1971,2022,52,1971,2003,33,1971,2004,34,2004,2022,19,2004,2022,19
"OW122","Active","South Natural Resource Area","North Okanagan","Enderby","Enderby (Hwy 97a)",633764.1114,1486422.6267,1155,"4b","Confined sand and gravel","Not Likely",TRUE,1971,2022,50,1972,2022,49,1971,2006,34,1972,2007,34,2006,2022,17,2007,2022,16
"OW120","Inactive",NA,NA,NA,NA,623867.747,1483199.6708,353,"3","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW134","Inactive",NA,NA,NA,NA,660990.3938,1705070.8177,603,"1b","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW136","Inactive",NA,NA,NA,NA,660999.8588,1704662.1054,603,"1b","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
